Turtle,Date,Time_Point,Treatment_Group,ZM_Num_Fed,ZM_Mass_Fed,Time_Blood,Time_Fed,ZM_Num_Not_Eaten,ZM_Mass_Not_Eaten
125,9/21/2021,T0,10,20,1.5,12:31,17:10,0,0
199,9/21/2021,T0,0,20,2.31,13:22,17:52,0,0
200,9/21/2021,T0,0,20,1.01,13:02,16:15,0,0
205,9/21/2021,T0,10,20,2.08,12:36,17:59,0,0
206,9/21/2021,T0,10,20,2.33,13:07,18:00,0,0
207,9/21/2021,T0,10,20,1.84,14:17,17:16,0,0
208,9/21/2021,T0,0,20,1.07,12:50,16:18,0,0
210,9/21/2021,T0,10,20,1.61,14:34,17:21,0,0
211,9/21/2021,T0,10,20,1.61,12:07,17:27,0,0
213,9/21/2021,T0,0,20,1.81,12:02,16:21,0,0
214,9/21/2021,T0,10,20,1.75,11:33,18:01,0,0
215,9/21/2021,T0,10,20,2.65,15:18,18:03,0,0
216,9/21/2021,T0,10,20,1.62,14:11,17:29,0,0
217,9/21/2021,T0,0,20,1.35,14:49,16:24,0,0
218,9/21/2021,T0,0,20,2.08,14:42,17:54,0,0
219,9/21/2021,T0,0,20,2.09,14:04,17:55,0,0
220,9/21/2021,T0,0,20,1.41,12:44,16:27,0,0
221,9/21/2021,T0,10,20,1.58,12:14,17:32,0,0
225,9/21/2021,T0,0,20,2.25,11:28,17:56,0,0
228,9/21/2021,T0,10,20,1.8,13:15,17:35,0,0
229,9/21/2021,T0,0,20,1.26,11:48,16:30,0,0
230,9/21/2021,T0,0,20,1.52,11:41,16:32,0,0
231,9/21/2021,T0,10,20,1.76,14:22,17:37,0,0
232,9/21/2021,T0,0,20,1.27,14:54,16:35,0,0
703,9/21/2021,T0,10,20,1.41,12:24,17:40,0,0
Gregor_4,9/21/2021,T0,10,20,1.57,12:57,18:04,0,0
Gregor_5,9/21/2021,T0,0,20,1.34,11:54,16:38,0,0
Gregor_6,9/21/2021,T0,10,20,1.75,15:28,17:43,0,0
Gregor_7,9/21/2021,T0,0,20,2.1,15:08,17:57,0,0
Gregor_8,9/21/2021,T0,0,20,1.45,15:01,16:41,0,0
125,9/25/2021,T1,10,20,2.19,N/a,12:36,10,0.46
199,9/25/2021,T1,0,20,1.25,N/a,12:44,17,1.52
200,9/25/2021,T1,0,20,1.66,N/a,12:44,2,0.02
205,9/25/2021,T1,10,20,1.94,N/a,12:36,0,0
206,9/25/2021,T1,10,20,2.01,N/a,12:35,0,0
207,9/25/2021,T1,10,20,1.81,N/a,12:34,8,0.57
208,9/25/2021,T1,0,20,1.52,N/a,12:43,0,0
210,9/25/2021,T1,10,20,2.31,N/a,12:37,0,0
211,9/25/2021,T1,10,20,1.92,N/a,12:34,0,0
213,9/25/2021,T1,0,20,1.67,N/a,12:42,0,0
214,9/25/2021,T1,10,20,2.151,N/a,12:35,15,1.13
215,9/25/2021,T1,10,20,1.97,N/a,12:29,3,0.14
216,9/25/2021,T1,10,20,2.06,N/a,12:35,8,0.42
217,9/25/2021,T1,0,20,1.63,N/a,12:42,0,0
218,9/25/2021,T1,0,20,1.68,N/a,12:45,0,0
219,9/25/2021,T1,0,20,1.77,N/a,12:43,20,1.62
220,9/25/2021,T1,0,20,1.78,N/a,12:42,18,1.05
221,9/25/2021,T1,10,20,2.24,N/a,12:33,18,1.26
225,9/25/2021,T1,0,20,1.66,N/a,12:40,19,1.71
228,9/25/2021,T1,10,20,1.79,N/a,12:32,12,1.19
229,9/25/2021,T1,0,20,1.94,N/a,12:41,6,0.33
230,9/25/2021,T1,0,20,1.92,N/a,12:44,20,1.42
231,9/25/2021,T1,10,20,2.16,N/a,12:37,15,0.98
232,9/25/2021,T1,0,20,1.65,N/a,12:41,0,0
703,9/25/2021,T1,10,20,2.03,N/a,12:33,20,1.29
Gregor_4,9/25/2021,T1,10,20,1.95,N/a,12:30,12,0.59
Gregor_5,9/25/2021,T1,0,20,2.1,N/a,12:39,16,0.93
Gregor_6,9/25/2021,T1,10,20,2.56,N/a,12:31,20,1.65
Gregor_7,9/25/2021,T1,0,20,2.42,N/a,12:40,18,1.82
Gregor_8,9/25/2021,T1,0,20,2.14,N/a,12:40,20,1.37
125,9/29/2021,T2,10,20,2.57,15:25,17:10,14,1.84
199,9/29/2021,T2,0,20,1.73,16:52,17:05,19,1.56
200,9/29/2021,T2,0,20,2.29,16:18,17:04,2,0.06
205,9/29/2021,T2,10,20,2.23,17:00,17:06,0,0
206,9/29/2021,T2,10,20,2.98,16:22,17:04,3,0.37
207,9/29/2021,T2,10,20,2.49,15:44,17:04,19,2.17
208,9/29/2021,T2,0,20,2.05,17:40,17:07,0,0
210,9/29/2021,T2,10,20,2.72,14:19,17:12,10,1.06
211,9/29/2021,T2,10,20,2.29,17:30,17:07,0,0
213,9/29/2021,T2,0,20,1.92,15:02,17:11,0,0
214,9/29/2021,T2,10,20,2.43,15:12,17:08,14,1.51
215,9/29/2021,T2,10,20,2.25,14:09,17:13,14,1.49
216,9/29/2021,T2,10,20,2.44,15:39,17:03,18,1.99
217,9/29/2021,T2,0,20,1.64,14:32,17:12,0,0
218,9/29/2021,T2,0,20,2.14,14:26,17:12,0,0
219,9/29/2021,T2,0,20,1.54,15:33,17:02,19,2.13
220,9/29/2021,T2,0,20,2.17,17:05,17:06,15,1.15
221,9/29/2021,T2,10,20,2.54,15:20,17:08,11,1.42
225,9/29/2021,T2,0,20,1.58,14:42,17:11,20,1.68
228,9/29/2021,T2,10,20,2.35,16:39,17:04,8,0.7
229,9/29/2021,T2,0,20,1.91,14:46,17:11,18,1.78
230,9/29/2021,T2,0,20,1.94,17:25,17:07,20,1.43
231,9/29/2021,T2,10,20,2.81,16:13,17:04,15,2.05
232,9/29/2021,T2,0,20,2.17,14:37,17:13,16,1.31
703,9/29/2021,T2,10,20,2.45,15:09,17:10,19,2.19
Gregor_4,9/29/2021,T2,10,20,2.4,17:35,17:07,19,1.89
Gregor_5,9/29/2021,T2,0,20,2.39,15:16,17:08,20,2.46
Gregor_6,9/29/2021,T2,10,20,2.44,14:13,17:14,20,2.61
Gregor_7,9/29/2021,T2,0,20,2.47,14:02,17:15,20,2.43
Gregor_8,9/29/2021,T2,0,20,2.03,13:49,17:13,18,2.1
125,10/3/2021,T3,10,20,2.9,N/a,11:56,17,2.39
199,10/3/2021,T3,0,20,1.88,N/a,12:18,20,2.17
200,10/3/2021,T3,0,20,2.2,N/a,12:22,0,0
205,10/3/2021,T3,10,20,2.31,N/a,12:16,0,0
206,10/3/2021,T3,10,20,1.6,N/a,12:23,16,2.64
207,10/3/2021,T3,10,20,1.62,N/a,12:29,15,2.27
208,10/3/2021,T3,0,20,2.35,N/a,12:12,0,0
210,10/3/2021,T3,10,20,2.37,N/a,11:42,9,1.18
211,10/3/2021,T3,10,20,2.05,N/a,12:09,13,1.58
213,10/3/2021,T3,0,20,2.48,N/a,11:45,10,0.76
214,10/3/2021,T3,10,20,2.6,N/a,12:02,5,0.67
215,10/3/2021,T3,10,20,2.64,N/a,11:35,8,0.96
216,10/3/2021,T3,10,20,2.66,N/a,12:31,15,2.23
217,10/3/2021,T3,0,20,2.74,N/a,11:40,0,0
218,10/3/2021,T3,0,20,2.93,N/a,11:39,0,0
219,10/3/2021,T3,0,20,2.12,N/a,12:25,18,1.71
220,10/3/2021,T3,0,20,2.26,N/a,12:15,14,1.68
221,10/3/2021,T3,10,20,2.54,N/a,12:05,15,2.13
225,10/3/2021,T3,0,20,2.36,N/a,11:50,19,158
228,10/3/2021,T3,10,20,1.94,N/a,12:20,15,2.29
229,10/3/2021,T3,0,20,2.4,N/a,11:48,16,1.61
230,10/3/2021,T3,0,20,1.91,N/a,12:08,20,2.29
231,10/3/2021,T3,10,20,1.72,N/a,12:06,20,3.17
232,10/3/2021,T3,0,20,2.73,N/a,11:36,19,2.25
703,10/3/2021,T3,10,20,2.64,N/a,11:51,16,2.26
Gregor_4,10/3/2021,T3,10,20,2.7,N/a,11:13,18,2.88
Gregor_5,10/3/2021,T3,0,20,2.36,N/a,12:04,19,2.63
Gregor_6,10/3/2021,T3,10,20,2.83,N/a,11:36,20,2.87
Gregor_7,10/3/2021,T3,0,20,2.68,N/a,11:28,20,2.72
Gregor_8,10/3/2021,T3,0,20,2.72,N/a,11:26,6,0.8
125,10/7/2021,T4,10,0,0,13:50,N/a,20,2.32
199,10/7/2021,T4,0,0,0,12:01,N/a,20,1.64
200,10/7/2021,T4,0,0,0,11:41,N/a,12,1.43
205,10/7/2021,T4,10,0,0,12:25,N/a,18,1.72
206,10/7/2021,T4,10,0,0,11:48,N/a,20,1.38
207,10/7/2021,T4,10,0,0,11:28,N/a,20,2.08
208,10/7/2021,T4,0,0,0,12:42,N/a,12,1.04
210,10/7/2021,T4,10,0,0,15:18,N/a,19,2.09
211,10/7/2021,T4,10,0,0,13:13,N/a,17,1.65
213,10/7/2021,T4,0,0,0,15:01,N/a,19,2.12
214,10/7/2021,T4,10,0,0,13:17,N/a,18,1.55
215,10/7/2021,T4,10,0,0,17:00,N/a,16,2.39
216,10/7/2021,T4,10,0,0,11:15,N/a,20,2.64
217,10/7/2021,T4,0,0,0,15:50,N/a,0,0
218,10/7/2021,T4,0,0,0,15:31,N/a,0,0
219,10/7/2021,T4,0,0,0,11:09,N/a,20,1.78
220,10/7/2021,T4,0,0,0,12:34,N/a,13,1.23
221,10/7/2021,T4,10,0,0,13:54,N/a,20,2.84
225,10/7/2021,T4,0,0,0,14:46,N/a,19,2.14
228,10/7/2021,T4,10,0,0,12:01,N/a,17,1.66
229,10/7/2021,T4,0,0,0,14:52,N/a,20,2.32
230,10/7/2021,T4,0,0,0,13:02,N/a,20,1.86
231,10/7/2021,T4,10,0,0,11:36,N/a,20,1.68
232,10/7/2021,T4,0,0,0,16:31,N/a,20,2.53
703,10/7/2021,T4,10,0,0,15:08,N/a,18,2.56
Gregor_4,10/7/2021,T4,10,0,0,12:51,N/a,20,2.64
Gregor_5,10/7/2021,T4,0,0,0,13:47,N/a,20,1.42
Gregor_6,10/7/2021,T4,10,0,0,17:20,N/a,20,3.24
Gregor_7,10/7/2021,T4,0,0,0,16:53,N/a,20,3.11
Gregor_8,10/7/2021,T4,0,0,0,16:44,N/a,17,1.71
